名前,あやめ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,03,ドラ,3 回,150.0%,1 位,,0,±0,,東1局,-4750,2 回,-9500
総局数,21 回,,,01,立直,2 回,100.0%,1 位,,1,-24.4,,東2局,-2950,2 回,-5900
通算スコア,-55.9,,,06,ツモ,1 回,50.0%,1 位,,2,-55.9,,東3局,-4000,2 回,-8000
平均スコア,-27.95,,,25,七対子,1 回,50.0%,1 位,,,,,南1局,-6600,2 回,-13200
平均順位,3.00 位,,,02,一発,0 回,0.0%,4 位,,,,,南2局,-2750,2 回,-5500
1位,0 回,0.0%,,04,裏ドラ,0 回,0.0%,4 位,,,,,南3局,-6900,2 回,-13800
2位,0 回,0.0%,,05,ガリ,0 回,0.0%,4 位,,,,,,,,
3位,2 回,100.0%,,07,平和,0 回,0.0%,3 位,,,,,起家,スコア,回数,合計
ふっとび,1 回,50.0%,,08,一盃口,0 回,0.0%,3 位,,,,,東家,-24.40,1 回,-24.4
ふっとばし,0 回,0.0%,,09,タンヤオ,0 回,0.0%,1 位,,,,,南家,±0,0 回,0
逆転,0 回,0.0%,,10,役牌,0 回,0.0%,4 位,,,,,西家,-31.50,1 回,-31.5
リーチ,6 回,28.6%,,11,海底摸月,0 回,0.0%,1 位,,,,,,,,
副露,5 回,23.8%,,12,河底撈魚,0 回,0.0%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,2 回,33.3%,,13,嶺上開花,0 回,0.0%,1 位,,,,,だいち,-20.10,2 回,-40.2
副露成功,0 回,0.0%,,14,槍槓,0 回,0.0%,1 位,,,,,はんまー,-63.75,2 回,-127.5
アガリ,2 回,9.5%,,15,ダブル立直,0 回,0.0%,1 位,,,,,,,,
ツモ,1 回,50.0%,,16,一気通貫,0 回,0.0%,1 位,,,,,,,,
ロン,1 回,50.0%,,17,チャンタ,0 回,0.0%,1 位,,,,,,,,
放銃,3 回,14.3%,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,4600,9200,,19,三色同刻,0 回,0.0%,1 位,,,,,,,,
平均放銃点,-4700,-14100,,20,三暗刻,0 回,0.0%,1 位,,,,,,,,
最大ドラ数,3 個,,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
最大点数,600,,,22,対々和,0 回,0.0%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.0%,1 位,,,,,,,,
new局数,21 回,,,24,混老頭,0 回,0.0%,1 位,,,,,,,,
newアガリ,2 回,,,26,二盃口,0 回,0.0%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.0%,4 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.0%,1 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.0%,3 位,,,,,,,,
