名前,ともき,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,合計点数,回数
対戦数,3 回,,,01,立直,1 回,100.0%,1 位,,0,±0,,東1局,-8667,-26000,3 回
総局数,16 回,,,02,一発,0 回,0.0%,12 位,,1,+7,,東2局,-250,-500,2 回
通算スコア,-26.5,,,03,ドラ,0 回,0.0%,12 位,,2,-25,,東3局,-3500,-7000,2 回
平均スコア,-8.8,,,04,裏ドラ,2 回,200.0%,1 位,,3,-27,,南1局,0,0,1 回
平均順位,2.33 位,,,05,ガリ,0 回,0.0%,12 位,,,,,南2局,8000,8000,1 回
1位,0 回,0.0%,,06,ツモ,0 回,0.0%,12 位,,,,,南3局,-1000,-1000,1 回
2位,2 回,66.7%,,07,平和,1 回,100.0%,1 位,,,,,,,,
3位,1 回,33.3%,,08,一盃口,0 回,0.0%,11 位,,,,,,,,
ふっとび,0 回,0.0%,,09,タンヤオ,1 回,100.0%,1 位,,,,,,,,
ふっとばし,0 回,0.0%,,10,役牌,0 回,0.0%,12 位,,,,,,,,
リーチ,5 回,45.5%,,11,海底摸月,0 回,0.0%,4 位,,,,,,,,
副露,0 回,0.0%,,12,河底撈魚,0 回,0.0%,4 位,,,,,,,,
リーチ成功,1 回,20.0%,,13,嶺上開花,0 回,0.0%,6 位,,,,,,,,
副露成功,0 回,0.0%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
アガリ,3 回,18.8%,,15,ダブル立直,0 回,0.0%,6 位,,,,,,,,
ツモ,0 回,0.0%,,16,一気通貫,0 回,0.0%,10 位,,,,,,,,
ロン,3 回,100.0%,,17,チャンタ,0 回,0.0%,8 位,,,,,,,,
放銃,2 回,12.5%,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,8000,24000,,19,三色同刻,0 回,0.0%,3 位,,,,,,,,
平均放銃点,-12000,-24000,,20,三暗刻,0 回,0.0%,9 位,,,,,,,,
親,3 回,18.8%,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
親アガリ,0 回,0.0%,,22,対々和,0 回,0.0%,9 位,,,,,,,,
new局数,11 回,,,23,小三元,0 回,0.0%,5 位,,,,,,,,
newアガリ,1 回,,,24,混老頭,0 回,0.0%,5 位,,,,,,,,
最大ドラ数,2 個,,,25,七対子,0 回,0.0%,12 位,,,,,,,,
最大点数,42000,,,26,二盃口,0 回,0.0%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,27,純チャン,0 回,0.0%,3 位,,,,,,,,
,,,,28,混一色,0 回,0.0%,11 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,3 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,8 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,5 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,4 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
