名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,163 回,,,03,ドラ,267 回,71.97%,7 位,,0,±0,1441,,東1局,+704,163 回,114700
総局数,1341 回,,,01,立直,219 回,59.03%,3 位,,1,+45.5,1450,,東2局,-1634,158 回,-258200
通算スコア,-539.2,,,10,役牌,165 回,44.47%,12 位,,2,+6.3,1444,,東3局,-456,151 回,-68900
平均スコア,-3.31,,,52,赤ドラ,157 回,42.32%,5 位,,3,-47.3,1435,,南1局,-377,136 回,-51300
レーティング,1429,,,04,裏ドラ,142 回,38.27%,4 位,,4,+13.6,1446,,南2局,+148,120 回,17800
平均順位,2.08 位,,,06,ツモ,133 回,35.85%,3 位,,5,-16.6,1441,,南3局,-144,107 回,-15400
1位,44 回,27.0%,,07,平和,81 回,21.83%,1 位,,6,-14.0,1442,,,,,
2位,62 回,38.0%,,02,一発,52 回,14.02%,1 位,,7,-45.3,1437,,起家,スコア,回数,合計
3位,57 回,35.0%,,08,一盃口,48 回,12.94%,3 位,,8,-49.6,1437,,東家,-6.29,77 回,-484.5
1位スコア,+48.45,+2131.90,,28,混一色,43 回,11.59%,8 位,,9,-79.5,1432,,南家,-4.40,45 回,-197.9
2位スコア,-1.46,-90.40,,25,七対子,20 回,5.39%,8 位,,10,-80.9,1433,,西家,+3.49,41 回,143.2
3位スコア,-45.28,-2580.70,,09,タンヤオ,18 回,4.85%,9 位,,11,-53.1,1438,,,,,
バランス,+0.57,,,22,対々和,15 回,4.04%,9 位,,12,-56.5,1437,,相手,スコア,回数,合計
ふっとび,22 回,13.5%,,20,三暗刻,11 回,2.96%,5 位,,13,-81.9,1433,,いっしー,+21.07,10 回,210.7
リーチ,397 回,29.6%,,16,一気通貫,8 回,2.16%,9 位,,14,-25.6,1443,,ぱぱ,+9.24,26 回,240.3
副露,232 回,17.3%,,51,オープン立直,8 回,2.16%,4 位,,15,+48.0,1456,,ただ,+2.81,67 回,188.2
リーチ成功,232 回,58.4%,,17,チャンタ,7 回,1.89%,5 位,,16,+41.7,1455,,まっつん,+0.51,33 回,16.8
副露成功,73 回,31.5%,,30,清一色,7 回,1.89%,5 位,,17,+94.6,1465,,れんたろう,-0.25,38 回,-9.4
アガリ,371 回,27.7%,,13,嶺上開花,4 回,1.08%,3 位,,18,+116.7,1470,,たかの,-0.40,37 回,-14.9
放銃,246 回,18.3%,,11,海底摸月,3 回,0.81%,4 位,,19,+138.8,1474,,ほたに,-5.50,2 回,-11
ツモ,165 回,44.5%,,12,河底撈魚,2 回,0.54%,5 位,,20,+164.5,1479,,だいち,-19.81,113 回,-2238.3
ロン,206 回,55.5%,,15,ダブル立直,1 回,0.27%,7 位,,21,+204.1,1487,,,,,
リーチアガリ,232 回,62.5%,,23,小三元,1 回,0.27%,3 位,,22,+239.4,1494,,,,,
副露アガリ,73 回,19.7%,,27,純チャン,1 回,0.27%,2 位,,23,+245.5,1496,,,,,
