hh,対戦数,,通算スコア,,平均スコア,,レーティング,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,0.6254,,0.9898,,0.9457,,,,0.9540,,0.7454,,0.7287,,0.6004,,0.3864,,0.4312,,0.1371,,0.3980,,0.2721,,0.0839,,0.4105,,0.1582,,-0.1818,,0.8113,
1位,全体,383 回,だいち,+2082.0,いっしー,+13.10,だいち,1742,いっしー,1.50 位,たか,50.0%,いっしー,0.0%,いっしー,46.7%,いっしー,6.7%,れんたろう,10995,まっつん,-7231,いっしー,0.0%,たか,38.5%,ほたに,35.5%,たか,63.3%,いっしー,100.0%,ぱぱ,59.8%,だいち,149100
2位,だいち,234 回,れんたろう,+888.2,だいち,+8.90,れんたろう,1638,だいち,1.78 位,いっしー,50.0%,だいち,24.4%,だいち,33.9%,だいち,12.7%,たか,9535,だいち,-7479,だいち,5.1%,ゆう,37.5%,いっしー,33.3%,だいち,58.3%,ともき,65.0%,ともき,53.7%,全体,149100
3位,ただ,202 回,いっしー,+26.2,れんたろう,+5.32,全体,1543,れんたろう,1.91 位,だいち,46.6%,まっつん,30.4%,たか,33.3%,まっつん,13.7%,ゆう,8513,ぱぱ,-7578,りくと,7.4%,ともき,34.9%,ただ,29.6%,まっつん,54.9%,だいち,47.4%,れんたろう,51.0%,れんたろう,122100
4位,まっつん,171 回,ただ,+21.9,たか,+0.93,ただ,1521,ただ,1.97 位,ほたに,42.9%,ただ,31.2%,ともき,32.5%,全体,15.9%,まっつん,8472,たかの,-7711,まっつん,8.2%,れんたろう,29.9%,たかの,26.2%,れんたろう,54.8%,まっつん,42.2%,のり,47.2%,まっつん,101400
5位,れんたろう,167 回,たか,+9.3,ただ,+0.11,まっつん,1509,たか,2.00 位,れんたろう,40.7%,れんたろう,31.7%,ただ,31.9%,たかの,16.0%,のり,8429,りくと,-7761,ただ,9.4%,ぱぱ,29.0%,だいち,24.1%,全体,54.8%,全体,42.0%,りくと,46.7%,ぱぱ,95200
6位,りくと,121 回,全体,-0.0,全体,-0.00,いっしー,1505,全体,2.00 位,ただ,34.2%,全体,33.3%,全体,29.3%,ともき,16.9%,全体,8405,全体,-7861,たかの,9.5%,りくと,26.7%,全体,23.2%,りくと,54.4%,ただ,40.7%,たか,46.2%,ただ,91800
7位,たかの,95 回,ゆう,-80.8,まっつん,-0.48,たか,1500,まっつん,2.05 位,ぱぱ,33.3%,りくと,39.7%,れんたろう,28.1%,れんたろう,17.1%,だいち,8258,ただ,-7965,全体,10.0%,いっしー,26.7%,のり,22.9%,ぱぱ,53.7%,のり,40.5%,まっつん,45.6%,りくと,87900
8位,のり,79 回,まっつん,-81.5,りくと,-6.34,ゆう,1485,ぱぱ,2.08 位,全体,33.3%,ゆう,40.0%,たかの,27.5%,ただ,17.2%,ぱぱ,8052,ゆう,-7988,れんたろう,12.0%,だいち,26.2%,まっつん,22.6%,ともき,53.4%,りくと,40.5%,全体,45.2%,たかの,87400
9位,ぱぱ,36 回,ほたに,-104.8,ともき,-6.80,ほたに,1481,ほたに,2.14 位,ともき,30.0%,ぱぱ,41.7%,まっつん,27.3%,ぱぱ,17.7%,りくと,7968,いっしー,-8000,のり,17.7%,まっつん,24.9%,りくと,20.0%,ほたに,53.3%,たかの,39.6%,たかの,42.9%,のり,85100
10位,ともき,20 回,ともき,-135.9,ぱぱ,-7.16,ともき,1478,ともき,2.15 位,たかの,26.3%,のり,43.0%,りくと,26.5%,のり,18.1%,ただ,7729,れんたろう,-8243,ぱぱ,19.4%,全体,24.9%,れんたろう,18.8%,たかの,53.2%,れんたろう,39.1%,だいち,42.2%,たか,70900
11位,たか,10 回,ぱぱ,-257.9,たかの,-7.40,ぱぱ,1456,りくと,2.17 位,まっつん,25.7%,たかの,43.2%,ぱぱ,25.0%,りくと,18.2%,ほたに,7473,ともき,-8507,ともき,20.0%,ほたに,24.2%,たか,16.7%,ただ,52.2%,たか,38.5%,ただ,41.5%,ともき,65900
12位,ほたに,7 回,たかの,-703.0,のり,-11.35,りくと,1411,たかの,2.17 位,りくと,23.1%,ともき,45.0%,のり,24.6%,ほたに,19.4%,いっしー,7386,のり,-8517,たか,20.0%,ただ,22.3%,ゆう,15.0%,のり,51.9%,ゆう,33.3%,ほたに,33.3%,ほたに,59500
13位,ゆう,5 回,りくと,-766.9,ほたに,-14.97,たかの,1400,ゆう,2.20 位,ゆう,20.0%,たか,50.0%,ほたに,24.2%,ゆう,20.0%,たかの,6991,ほたに,-9075,ゆう,20.0%,のり,20.9%,ぱぱ,14.9%,いっしー,50.0%,ぱぱ,30.6%,いっしー,28.6%,いっしー,52800
14位,いっしー,2 回,のり,-896.8,ゆう,-16.16,のり,1373,のり,2.28 位,のり,15.2%,ほたに,57.1%,ゆう,20.0%,たか,24.4%,ともき,6648,たか,-10011,ほたに,57.1%,たかの,14.6%,ともき,12.0%,ゆう,40.0%,ほたに,27.3%,ゆう,25.0%,ゆう,52000
