,対戦数,,通算スコア,,平均スコア,,レーティング,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,0.8013,,0.1804,,0.1505,,,,-0.0619,,-0.0235,,-0.0925,,0.3452,,-0.1477,,0.6763,,-0.0627,,-0.1427,,0.1031,,-0.2327,,0.6279,,0.1315,,0.1352,,0.8706,
1位,全体,62 回,ただ,+293.9,ただ,+9.18,だいち,1792,ただ,1.72 位,ただ,50.0%,ただ,21.9%,ただ,34.3%,まっつん,6.5%,わさび,10925,まっつん,-3380,まっつん,0.0%,まっつん,27.3%,たかの,30.4%,りくと,70.0%,りくと,66.7%,わさび,100.0%,だいち,103000
2位,だいち,50 回,いちかわ,+108.8,いちかわ,+4.53,れんたろう,1627,たかの,1.87 位,いちかわ,41.7%,たかの,26.1%,いちかわ,31.9%,ただ,13.8%,れんたろう,8782,だいち,-6439,のり,0.0%,のり,25.7%,のり,28.6%,だいち,57.5%,いちかわ,53.3%,りくと,72.7%,全体,103000
3位,ただ,32 回,だいち,+81.2,たかの,+2.01,全体,1600,いちかわ,1.88 位,たかの,39.1%,いちかわ,29.2%,だいち,31.0%,いちかわ,14.9%,だいち,8519,いちかわ,-6732,わさび,0.0%,だいち,25.2%,わさび,27.8%,いちかわ,56.1%,ただ,49.3%,たかの,50.8%,ただ,98800
4位,いちかわ,24 回,たかの,+46.2,だいち,+1.62,ただ,1582,全体,1.99 位,全体,33.9%,まっつん,30.0%,全体,29.5%,たかの,16.4%,りくと,8273,たかの,-7003,たかの,4.3%,たかの,24.8%,ただ,25.1%,まっつん,52.4%,だいち,44.6%,れんたろう,46.7%,れんたろう,94700
5位,たかの,23 回,全体,+0.0,全体,+0.00,いちかわ,1520,だいち,2.04 位,りくと,33.3%,だいち,32.0%,たかの,29.4%,全体,16.5%,いちかわ,8232,全体,-7230,だいち,6.0%,全体,23.8%,いちかわ,23.9%,ただ,52.4%,全体,44.1%,だいち,43.8%,いちかわ,80600
6位,れんたろう,19 回,わさび,-13.5,まっつん,-5.50,まっつん,1519,れんたろう,2.16 位,れんたろう,31.6%,全体,33.3%,れんたろう,26.9%,わさび,16.7%,のり,8213,ただ,-7449,ただ,6.3%,たか,23.4%,全体,23.3%,全体,51.7%,まっつん,43.8%,全体,43.7%,まっつん,80000
7位,たか,16 回,のり,-51.7,わさび,-6.75,わさび,1497,たか,2.19 位,だいち,28.0%,たか,43.8%,まっつん,24.7%,だいち,17.6%,全体,8033,りくと,-7667,いちかわ,8.3%,れんたろう,23.4%,れんたろう,22.2%,れんたろう,48.7%,たかの,41.5%,たか,42.9%,たか,74600
8位,まっつん,10 回,まっつん,-55.0,れんたろう,-7.55,たか,1480,まっつん,2.20 位,たか,25.0%,れんたろう,47.4%,のり,22.9%,りくと,18.4%,ただ,7967,たか,-7989,全体,8.6%,ただ,22.3%,だいち,21.9%,たか,48.3%,のり,40.0%,ただ,41.2%,たかの,64100
9位,りくと,6 回,りくと,-118.3,たか,-9.26,たかの,1461,のり,2.25 位,のり,25.0%,のり,50.0%,たか,22.6%,れんたろう,19.2%,たか,7368,れんたろう,-8484,たか,12.5%,わさび,22.2%,まっつん,20.8%,たかの,43.4%,わさび,40.0%,いちかわ,40.0%,りくと,49300
10位,のり,4 回,れんたろう,-143.4,のり,-12.93,りくと,1377,りくと,2.33 位,まっつん,10.0%,わさび,50.0%,りくと,22.4%,たか,21.8%,たかの,6930,のり,-9388,れんたろう,21.1%,いちかわ,21.8%,たか,18.5%,わさび,25.0%,れんたろう,35.1%,のり,25.0%,のり,45000
11位,わさび,2 回,たか,-148.2,りくと,-19.72,のり,1343,わさび,2.50 位,わさび,0.0%,りくと,66.7%,わさび,22.2%,のり,22.9%,まっつん,6453,わさび,-10300,りくと,33.3%,りくと,20.4%,りくと,6.1%,のり,22.2%,たか,30.4%,まっつん,15.8%,わさび,39000
