名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,25 回,,,01,立直,38 回,70.37%,1 位,,0,±0,1377,,東1局,-6360,25 回,-159000
総局数,205 回,,,03,ドラ,37 回,68.52%,6 位,,1,-24.3,1374,,東2局,-2565,23 回,-59000
通算スコア,-212.2,,,06,ツモ,26 回,48.15%,1 位,,2,-4.3,1379,,東3局,+1922,23 回,44200
平均スコア,-8.49,,,10,役牌,24 回,44.44%,5 位,,3,-22.9,1377,,南1局,+1414,22 回,31100
レーティング,1373,,,52,赤ドラ,18 回,33.33%,7 位,,4,-45.5,1374,,南2局,-1510,21 回,-31700
平均順位,2.20 位,,,07,平和,14 回,25.93%,1 位,,5,-86.3,1368,,南3局,+1110,20 回,22200
1位,7 回,28.0%,,04,裏ドラ,13 回,24.07%,2 位,,6,-133.8,1361,,,,,
2位,6 回,24.0%,,02,一発,10 回,18.52%,1 位,,7,-76.2,1373,,起家,スコア,回数,合計
3位,12 回,48.0%,,08,一盃口,6 回,11.11%,4 位,,8,-103.8,1369,,東家,+19.90,5 回,99.5
1位スコア,+40.74,+285.20,,28,混一色,5 回,9.26%,5 位,,9,-132.4,1365,,南家,-17.67,10 回,-176.7
2位スコア,-1.38,-8.30,,25,七対子,4 回,7.41%,1 位,,10,-122.1,1368,,西家,-13.50,10 回,-135
3位スコア,-40.76,-489.10,,20,三暗刻,2 回,3.70%,5 位,,11,-97.8,1374,,,,,
バランス,-0.47,,,09,タンヤオ,1 回,1.85%,6 位,,12,-133.3,1369,,相手,スコア,回数,合計
ふっとび,4 回,16.0%,,15,ダブル立直,1 回,1.85%,1 位,,13,-175.4,1363,,れんたろう,-3.35,15 回,-50.2
リーチ,66 回,32.2%,,22,対々和,1 回,1.85%,5 位,,14,-130.1,1372,,ただ,-9.25,10 回,-92.5
副露,27 回,13.2%,,29,流し満貫,1 回,1.85%,1 位,,15,-129.6,1374,,だいち,-19.76,25 回,-493.9
リーチ成功,40 回,60.6%,,30,清一色,1 回,1.85%,2 位,,16,-149.9,1371,,,,,
副露成功,5 回,18.5%,,51,オープン立直,1 回,1.85%,3 位,,17,-210.4,1362,,,,,
アガリ,54 回,26.3%,,11,海底摸月,0 回,0.00%,3 位,,18,-278.4,1351,,,,,
放銃,34 回,16.6%,,12,河底撈魚,0 回,0.00%,3 位,,19,-236.2,1360,,,,,
ツモ,30 回,55.6%,,13,嶺上開花,0 回,0.00%,3 位,,20,-220.0,1364,,,,,
ロン,24 回,44.4%,,14,槍槓,0 回,0.00%,1 位,,21,-284.0,1354,,,,,
リーチアガリ,40 回,74.1%,,16,一気通貫,0 回,0.00%,5 位,,22,-251.3,1361,,,,,
副露アガリ,5 回,9.3%,,17,チャンタ,0 回,0.00%,3 位,,23,-188.2,1374,,,,,
ダマアガリ,9 回,16.7%,,19,三色同刻,0 回,0.00%,1 位,,24,-184.6,1376,,,,,
平均アガリ点,8706,470100,,21,三槓子,0 回,0.00%,1 位,,25,-212.2,1373,,,,,
門前アガリ点,9059,443900,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,5240,26200,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-9488,-322600,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,3 回,0 回,,27,純チャン,0 回,0.00%,3 位,,,,,,,,,
連続無放銃,18 回,0 回,,31,国士無双,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,4 個,,,32,四暗刻,0 回,0.00%,4 位,,,,,,,,,
最高点,82600,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
チョンボ,1 回,0.5%,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,2 回,3.7%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
2翻,8 回,14.8%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
3翻,8 回,14.8%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
4翻,13 回,24.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
5翻,11 回,20.4%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
6翻,8 回,14.8%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,3.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.9%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,1.9%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
